time,enrolled,available,waitlisted,total
2023-11-13T04:33:28,0,196,0,196
2023-11-13T04:49:31,0,196,0,196
2023-11-13T05:05:18,0,196,0,196
2023-11-13T05:21:01,0,196,0,196
2023-11-13T05:36:44,0,196,0,196
2023-11-13T05:52:28,0,196,0,196
2023-11-13T06:08:16,0,196,0,196
2023-11-13T06:23:58,0,196,0,196
2023-11-13T06:39:41,0,196,0,196
2023-11-13T06:55:21,0,196,0,196
2023-11-13T07:11:04,0,196,0,196
2023-11-13T07:26:43,0,196,0,196
2023-11-13T07:42:23,0,196,0,196
2023-11-13T07:58:01,0,196,0,196
2023-11-13T08:13:41,0,196,0,196
2023-11-13T08:29:29,0,196,0,196
2023-11-13T08:45:08,0,196,0,196
2023-11-13T09:00:47,0,196,0,196
2023-11-13T09:16:25,0,196,0,196
2023-11-13T09:32:03,0,196,0,196
2023-11-13T09:47:43,0,196,0,196
2023-11-13T10:03:33,0,196,0,196
2023-11-13T10:19:13,0,196,0,196
2023-11-13T10:34:52,0,196,0,196
2023-11-13T10:50:30,0,196,0,196
2023-11-13T11:06:22,0,196,0,196
2023-11-13T11:22:00,0,196,0,196
2023-11-13T11:37:39,0,196,0,196
2023-11-13T11:53:30,0,196,0,196
2023-11-13T12:09:15,0,196,0,196
2023-11-13T12:25:07,0,196,0,196
2023-11-13T12:40:46,0,196,0,196
2023-11-13T12:56:26,0,196,0,196
2023-11-13T13:12:15,0,196,0,196
2023-11-13T13:27:55,0,196,0,196
2023-11-13T13:43:35,0,196,0,196
2023-11-13T13:59:15,0,196,0,196
2023-11-13T14:15:06,0,196,0,196
2023-11-13T14:30:48,0,196,0,196
2023-11-13T14:46:30,0,196,0,196
2023-11-13T15:02:26,0,196,0,196
2023-11-13T15:18:08,0,196,0,196
2023-11-13T15:34:01,0,196,0,196
2023-11-13T15:49:44,0,196,0,196
2023-11-13T16:05:25,0,196,0,196
2023-11-13T16:21:18,0,196,0,196
2023-11-13T16:37:00,0,196,0,196
2023-11-13T16:52:42,0,196,0,196
2023-11-13T17:08:25,0,196,0,196
2023-11-13T17:24:18,0,196,0,196
2023-11-13T17:40:01,0,196,0,196
2023-11-13T17:55:43,0,196,0,196
2023-11-13T18:11:38,0,196,0,196
2023-11-13T18:27:20,0,196,0,196
2023-11-13T18:43:03,0,196,0,196
2023-11-13T18:58:56,0,196,0,196
2023-11-13T19:14:38,0,196,0,196
2023-11-13T19:30:21,0,196,0,196
2023-11-13T19:46:13,0,196,0,196
2023-11-13T20:01:55,0,196,0,196
2023-11-13T20:17:36,0,196,0,196
2023-11-13T20:33:18,0,196,0,196
2023-11-13T20:49:10,0,196,0,196
2023-11-13T21:04:53,0,196,0,196
2023-11-13T21:20:36,0,196,0,196
2023-11-13T21:36:19,0,196,0,196
2023-11-13T21:52:16,0,196,0,196
2023-11-13T22:07:58,0,196,0,196
2023-11-13T22:23:40,0,196,0,196
2023-11-13T22:39:32,0,196,0,196
2023-11-13T22:55:15,0,196,0,196
2023-11-13T23:10:57,0,196,0,196
2023-11-13T23:26:40,0,196,0,196
2023-11-13T23:42:34,0,196,0,196
2023-11-13T23:58:17,0,196,0,196
2023-11-14T00:19:38,0,196,0,196
2023-11-14T00:35:34,0,196,0,196
2023-11-14T00:51:36,0,196,0,196
2023-11-14T01:07:24,0,196,0,196
2023-11-14T01:23:10,0,196,0,196
2023-11-14T01:38:56,0,196,0,196
2023-11-14T01:54:42,0,196,0,196
2023-11-14T02:10:40,0,196,0,196
2023-11-14T02:26:26,0,196,0,196
2023-11-14T02:42:11,0,196,0,196
2023-11-14T02:57:55,0,196,0,196
2023-11-14T03:13:40,0,196,0,196
2023-11-14T03:29:26,0,196,0,196
2023-11-14T03:45:13,0,196,0,196
2023-11-14T04:01:10,0,196,0,196
2023-11-14T04:22:18,0,196,0,196
2023-11-14T04:38:31,0,196,0,196
2023-11-14T04:54:20,0,196,0,196
2023-11-14T05:10:10,0,196,0,196
2023-11-14T05:25:57,0,196,0,196
2023-11-14T05:41:45,0,196,0,196
2023-11-14T05:57:33,0,196,0,196
2023-11-14T06:13:23,0,196,0,196
2023-11-14T06:29:11,0,196,0,196
2023-11-14T06:44:57,0,196,0,196
2023-11-14T07:00:46,0,196,0,196
2023-11-14T07:16:40,0,196,0,196
2023-11-14T07:32:25,0,196,0,196
2023-11-14T07:48:09,0,196,0,196
2023-11-14T08:03:54,0,196,0,196
2023-11-14T08:19:38,0,196,0,196
2023-11-14T08:35:30,0,196,0,196
2023-11-14T08:51:14,1,195,0,196
2023-11-14T09:07:10,1,195,0,196
2023-11-14T09:22:55,2,194,0,196
2023-11-14T09:38:38,2,194,0,196
2023-11-14T09:54:23,2,194,0,196
2023-11-14T10:10:18,3,193,0,196
2023-11-14T10:26:04,3,193,0,196
2023-11-14T10:41:59,3,193,0,196
2023-11-14T10:57:44,5,191,0,196
2023-11-14T11:13:31,6,190,0,196
2023-11-14T11:29:29,6,190,0,196
2023-11-14T11:45:22,6,190,0,196
2023-11-14T12:01:23,6,190,0,196
2023-11-14T12:17:11,6,190,0,196
2023-11-14T12:33:09,7,189,0,196
2023-11-14T12:48:56,8,188,0,196
2023-11-14T13:04:55,10,186,0,196
2023-11-14T13:20:43,11,185,0,196
2023-11-14T13:36:40,11,185,0,196
2023-11-14T13:52:29,11,185,0,196
2023-11-14T14:08:18,11,185,0,196
2023-11-14T14:24:18,11,185,0,196
2023-11-14T14:40:04,11,185,0,196
2023-11-14T14:56:00,11,185,0,196
2023-11-14T15:12:01,12,184,0,196
2023-11-14T15:27:46,12,184,0,196
2023-11-14T15:43:32,12,184,0,196
2023-11-14T15:59:31,12,184,0,196
2023-11-14T16:15:16,12,184,0,196
2023-11-14T16:31:14,12,184,0,196
2023-11-14T16:46:59,13,183,0,196
2023-11-14T17:02:55,13,183,0,196
2023-11-14T17:18:41,13,183,0,196
2023-11-14T17:34:27,13,183,0,196
2023-11-14T17:50:23,13,183,0,196
2023-11-14T18:06:09,13,183,0,196
2023-11-14T18:21:54,13,183,0,196
2023-11-14T18:37:51,13,183,0,196
