time,enrolled,available,waitlisted,total
2023-11-13T04:33:23,0,149,0,149
2023-11-13T04:49:27,0,149,0,149
2023-11-13T05:05:13,0,149,0,149
2023-11-13T05:20:56,0,149,0,149
2023-11-13T05:36:39,0,149,0,149
2023-11-13T05:52:23,0,149,0,149
2023-11-13T06:08:11,0,149,0,149
2023-11-13T06:23:53,0,149,0,149
2023-11-13T06:39:36,0,149,0,149
2023-11-13T06:55:17,0,149,0,149
2023-11-13T07:10:59,0,149,0,149
2023-11-13T07:26:38,0,149,0,149
2023-11-13T07:42:18,0,149,0,149
2023-11-13T07:57:57,0,149,0,149
2023-11-13T08:13:36,0,149,0,149
2023-11-13T08:29:24,0,149,0,149
2023-11-13T08:45:03,0,149,0,149
2023-11-13T09:00:42,0,149,0,149
2023-11-13T09:16:20,0,149,0,149
2023-11-13T09:31:59,0,149,0,149
2023-11-13T09:47:38,0,149,0,149
2023-11-13T10:03:29,0,149,0,149
2023-11-13T10:19:08,0,149,0,149
2023-11-13T10:34:47,0,149,0,149
2023-11-13T10:50:25,0,149,0,149
2023-11-13T11:06:17,0,149,0,149
2023-11-13T11:21:55,0,149,0,149
2023-11-13T11:37:35,0,149,0,149
2023-11-13T11:53:25,0,149,0,149
2023-11-13T12:09:10,0,149,0,149
2023-11-13T12:25:02,0,149,0,149
2023-11-13T12:40:41,0,149,0,149
2023-11-13T12:56:21,0,149,0,149
2023-11-13T13:12:10,0,149,0,149
2023-11-13T13:27:50,0,149,0,149
2023-11-13T13:43:31,0,149,0,149
2023-11-13T13:59:10,0,149,0,149
2023-11-13T14:15:02,0,149,0,149
2023-11-13T14:30:43,0,149,0,149
2023-11-13T14:46:25,0,149,0,149
2023-11-13T15:02:21,0,149,0,149
2023-11-13T15:18:03,0,149,0,149
2023-11-13T15:33:56,0,149,0,149
2023-11-13T15:49:39,0,149,0,149
2023-11-13T16:05:20,0,149,0,149
2023-11-13T16:21:13,0,149,0,149
2023-11-13T16:36:55,0,149,0,149
2023-11-13T16:52:37,0,149,0,149
2023-11-13T17:08:20,0,149,0,149
2023-11-13T17:24:14,0,149,0,149
2023-11-13T17:39:56,0,149,0,149
2023-11-13T17:55:38,0,149,0,149
2023-11-13T18:11:33,0,149,0,149
2023-11-13T18:27:15,0,149,0,149
2023-11-13T18:42:58,0,149,0,149
2023-11-13T18:58:51,0,149,0,149
2023-11-13T19:14:33,0,149,0,149
2023-11-13T19:30:16,0,149,0,149
2023-11-13T19:46:08,0,149,0,149
2023-11-13T20:01:50,0,149,0,149
2023-11-13T20:17:32,0,149,0,149
2023-11-13T20:33:14,0,149,0,149
2023-11-13T20:49:06,0,149,0,149
2023-11-13T21:04:48,0,149,0,149
2023-11-13T21:20:31,0,149,0,149
2023-11-13T21:36:14,0,149,0,149
2023-11-13T21:52:11,0,149,0,149
2023-11-13T22:07:53,0,149,0,149
2023-11-13T22:23:35,0,149,0,149
2023-11-13T22:39:28,0,149,0,149
2023-11-13T22:55:10,0,149,0,149
2023-11-13T23:10:53,0,149,0,149
2023-11-13T23:26:36,0,149,0,149
2023-11-13T23:42:30,0,149,0,149
2023-11-13T23:58:13,0,149,0,149
2023-11-14T00:19:33,0,149,0,149
2023-11-14T00:35:29,0,149,0,149
2023-11-14T00:51:32,0,149,0,149
2023-11-14T01:07:19,0,149,0,149
2023-11-14T01:23:05,0,149,0,149
2023-11-14T01:38:51,0,149,0,149
2023-11-14T01:54:38,0,149,0,149
2023-11-14T02:10:35,0,149,0,149
2023-11-14T02:26:21,0,149,0,149
2023-11-14T02:42:06,0,149,0,149
2023-11-14T02:57:50,0,149,0,149
2023-11-14T03:13:35,0,149,0,149
2023-11-14T03:29:21,0,149,0,149
2023-11-14T03:45:08,0,149,0,149
2023-11-14T04:01:05,0,149,0,149
2023-11-14T04:22:13,0,149,0,149
2023-11-14T04:38:26,0,149,0,149
2023-11-14T04:54:14,0,149,0,149
2023-11-14T05:10:05,0,149,0,149
2023-11-14T05:25:52,0,149,0,149
2023-11-14T05:41:40,0,149,0,149
2023-11-14T05:57:28,0,149,0,149
2023-11-14T06:13:19,0,149,0,149
2023-11-14T06:29:06,0,149,0,149
2023-11-14T06:44:52,0,149,0,149
2023-11-14T07:00:41,0,149,0,149
2023-11-14T07:16:35,0,149,0,149
2023-11-14T07:32:20,0,149,0,149
2023-11-14T07:48:04,0,149,0,149
2023-11-14T08:03:49,0,149,0,149
2023-11-14T08:19:33,0,149,0,149
2023-11-14T08:35:26,0,149,0,149
2023-11-14T08:51:09,0,149,0,149
2023-11-14T09:07:05,0,149,0,149
2023-11-14T09:22:50,0,149,0,149
2023-11-14T09:38:33,0,149,0,149
2023-11-14T09:54:18,0,149,0,149
2023-11-14T10:10:13,0,149,0,149
2023-11-14T10:25:59,0,149,0,149
2023-11-14T10:41:54,0,149,0,149
2023-11-14T10:57:39,0,149,0,149
2023-11-14T11:13:26,0,149,0,149
2023-11-14T11:29:25,0,149,0,149
2023-11-14T11:45:17,0,149,0,149
2023-11-14T12:01:19,1,148,0,149
2023-11-14T12:17:06,1,148,0,149
2023-11-14T12:33:04,1,148,0,149
2023-11-14T12:48:51,1,148,0,149
2023-11-14T13:04:50,1,148,0,149
2023-11-14T13:20:38,2,147,0,149
2023-11-14T13:36:35,2,147,0,149
2023-11-14T13:52:24,3,146,0,149
2023-11-14T14:08:13,3,146,0,149
2023-11-14T14:24:13,3,146,0,149
2023-11-14T14:39:59,3,146,0,149
2023-11-14T14:55:55,3,146,0,149
2023-11-14T15:11:56,3,146,0,149
2023-11-14T15:27:41,3,146,0,149
2023-11-14T15:43:28,3,146,0,149
