time,enrolled,available,waitlisted,total
2023-11-13T04:39:35,0,30,0,30
2023-11-13T04:55:21,0,30,0,30
2023-11-13T05:11:07,0,30,0,30
2023-11-13T05:26:50,0,30,0,30
2023-11-13T05:42:33,0,30,0,30
2023-11-13T05:58:16,0,30,0,30
2023-11-13T06:14:04,0,30,0,30
2023-11-13T06:29:47,0,30,0,30
2023-11-13T06:45:30,0,30,0,30
2023-11-13T07:01:13,0,30,0,30
2023-11-13T07:16:52,0,30,0,30
2023-11-13T07:32:31,0,30,0,30
2023-11-13T07:48:10,0,30,0,30
2023-11-13T08:03:49,0,30,0,30
2023-11-13T08:19:28,0,30,0,30
2023-11-13T08:35:17,0,30,0,30
2023-11-13T08:50:55,0,30,0,30
2023-11-13T09:06:34,0,30,0,30
2023-11-13T09:22:12,0,30,0,30
2023-11-13T09:37:51,0,30,0,30
2023-11-13T09:53:30,0,30,0,30
2023-11-13T10:09:21,0,30,0,30
2023-11-13T10:25:01,0,30,0,30
2023-11-13T10:40:39,0,30,0,30
2023-11-13T10:56:31,0,30,0,30
2023-11-13T11:12:09,0,30,0,30
2023-11-13T11:27:48,0,30,0,30
2023-11-13T11:43:28,0,30,0,30
2023-11-13T11:59:20,0,30,0,30
2023-11-13T12:15:04,0,30,0,30
2023-11-13T12:30:55,0,30,0,30
2023-11-13T12:46:34,0,30,0,30
2023-11-13T13:02:14,0,30,0,30
2023-11-13T13:18:04,0,30,0,30
2023-11-13T13:33:44,0,30,0,30
2023-11-13T13:49:24,0,30,0,30
2023-11-13T14:05:15,0,30,0,30
2023-11-13T14:20:56,0,30,0,30
2023-11-13T14:36:37,0,30,0,30
2023-11-13T14:52:31,0,30,0,30
2023-11-13T15:08:15,0,30,0,30
2023-11-13T15:23:57,0,30,0,30
2023-11-13T15:39:51,0,30,0,30
2023-11-13T15:55:33,0,30,0,30
2023-11-13T16:11:14,0,30,0,30
2023-11-13T16:27:07,0,30,0,30
2023-11-13T16:42:49,0,30,0,30
2023-11-13T16:58:31,0,30,0,30
2023-11-13T17:14:26,0,30,0,30
2023-11-13T17:30:08,0,30,0,30
2023-11-13T17:45:50,0,30,0,30
2023-11-13T18:01:32,0,30,0,30
2023-11-13T18:17:27,0,30,0,30
2023-11-13T18:33:10,0,30,0,30
2023-11-13T18:48:52,0,30,0,30
2023-11-13T19:04:45,0,30,0,30
2023-11-13T19:20:27,0,30,0,30
2023-11-13T19:36:10,0,30,0,30
2023-11-13T19:52:02,0,30,0,30
2023-11-13T20:07:44,0,30,0,30
2023-11-13T20:23:26,0,30,0,30
2023-11-13T20:39:07,0,30,0,30
2023-11-13T20:55:00,0,30,0,30
2023-11-13T21:10:42,0,30,0,30
2023-11-13T21:26:25,0,30,0,30
2023-11-13T21:42:22,0,30,0,30
2023-11-13T21:58:05,0,30,0,30
2023-11-13T22:13:47,0,30,0,30
2023-11-13T22:29:29,0,30,0,30
2023-11-13T22:45:22,0,30,0,30
2023-11-13T23:01:04,0,30,0,30
2023-11-13T23:16:47,0,30,0,30
2023-11-13T23:32:30,0,30,0,30
2023-11-13T23:48:24,0,30,0,30
2023-11-14T00:09:34,0,30,0,30
2023-11-14T00:25:35,0,30,0,30
2023-11-14T00:41:40,0,30,0,30
2023-11-14T00:57:27,0,30,0,30
2023-11-14T01:13:15,0,30,0,30
2023-11-14T01:29:01,0,30,0,30
2023-11-14T01:44:47,0,30,0,30
2023-11-14T02:00:45,0,30,0,30
2023-11-14T02:16:31,0,30,0,30
2023-11-14T02:32:16,0,30,0,30
2023-11-14T02:48:01,0,30,0,30
2023-11-14T03:03:45,0,30,0,30
2023-11-14T03:19:31,0,30,0,30
2023-11-14T03:35:17,0,30,0,30
2023-11-14T03:51:04,0,30,0,30
2023-11-14T04:07:01,0,30,0,30
2023-11-14T04:28:33,0,30,0,30
2023-11-14T04:44:22,0,30,0,30
2023-11-14T05:00:12,0,30,0,30
2023-11-14T05:16:01,0,30,0,30
2023-11-14T05:31:48,0,30,0,30
2023-11-14T05:47:36,0,30,0,30
2023-11-14T06:03:28,0,30,0,30
2023-11-14T06:19:14,0,30,0,30
2023-11-14T06:35:01,0,30,0,30
2023-11-14T06:50:48,0,30,0,30
2023-11-14T07:06:46,0,30,0,30
2023-11-14T07:22:31,0,30,0,30
2023-11-14T07:38:15,0,30,0,30
2023-11-14T07:54:00,0,30,0,30
2023-11-14T08:09:44,0,30,0,30
2023-11-14T08:25:27,0,30,0,30
2023-11-14T08:41:20,0,30,0,30
2023-11-14T08:57:04,0,30,0,30
2023-11-14T09:13:00,1,29,0,30
2023-11-14T09:28:44,1,29,0,30
2023-11-14T09:44:29,1,29,0,30
2023-11-14T10:00:24,1,29,0,30
2023-11-14T10:16:09,1,29,0,30
2023-11-14T10:31:56,1,29,0,30
2023-11-14T10:47:50,1,29,0,30
2023-11-14T11:03:36,2,28,0,30
2023-11-14T11:19:34,2,28,0,30
2023-11-14T11:35:22,2,28,0,30
2023-11-14T11:51:26,2,28,0,30
2023-11-14T12:07:16,2,28,0,30
2023-11-14T12:23:13,2,28,0,30
2023-11-14T12:39:00,2,28,0,30
2023-11-14T12:54:49,2,28,0,30
2023-11-14T13:10:47,2,28,0,30
2023-11-14T13:26:35,2,28,0,30
2023-11-14T13:42:33,2,28,0,30
2023-11-14T13:58:20,2,28,0,30
2023-11-14T14:14:24,2,28,0,30
2023-11-14T14:30:10,2,28,0,30
2023-11-14T14:46:06,2,28,0,30
2023-11-14T15:01:55,2,28,0,30
2023-11-14T15:17:52,2,28,0,30
2023-11-14T15:33:38,2,28,0,30
2023-11-14T15:49:37,2,28,0,30
2023-11-14T16:05:22,2,28,0,30
2023-11-14T16:21:08,2,28,0,30
2023-11-14T16:37:05,2,28,0,30
2023-11-14T16:52:50,2,28,0,30
2023-11-14T17:08:47,2,28,0,30
2023-11-14T17:24:33,2,28,0,30
2023-11-14T17:40:18,2,28,0,30
2023-11-14T17:56:15,2,28,0,30
2023-11-14T18:12:01,2,28,0,30
2023-11-14T18:27:46,2,28,0,30
2023-11-14T18:43:42,2,28,0,30
2023-11-14T18:59:29,2,28,0,30
2023-11-14T19:15:18,2,28,0,30
2023-11-14T19:31:17,3,27,0,30
2023-11-14T19:47:03,3,27,0,30
2023-11-14T20:02:52,3,27,0,30
2023-11-14T20:18:50,3,27,0,30
2023-11-14T20:34:36,3,27,0,30
2023-11-14T20:50:22,3,27,0,30
2023-11-14T21:06:09,3,27,0,30
2023-11-14T21:22:07,3,27,0,30
2023-11-14T21:37:53,3,27,0,30
2023-11-14T21:53:39,3,27,0,30
2023-11-14T22:09:36,3,27,0,30
2023-11-14T22:25:21,3,27,0,30
2023-11-14T22:41:06,3,27,0,30
2023-11-14T22:56:51,3,27,0,30
2023-11-14T23:12:51,3,27,0,30
2023-11-14T23:28:37,3,27,0,30
2023-11-14T23:44:22,3,27,0,30
2023-11-15T00:00:08,3,27,0,30
2023-11-15T00:16:10,3,27,0,30
2023-11-15T00:32:04,3,27,0,30
2023-11-15T00:47:53,3,27,0,30
2023-11-15T01:03:41,3,27,0,30
2023-11-15T01:19:31,3,27,0,30
2023-11-15T01:35:20,3,27,0,30
2023-11-15T01:51:10,3,27,0,30
2023-11-15T02:07:03,3,27,0,30
2023-11-15T02:23:03,3,27,0,30
2023-11-15T02:38:50,3,27,0,30
2023-11-15T02:54:38,3,27,0,30
2023-11-15T03:11:00,3,27,0,30
2023-11-15T03:26:52,3,27,0,30
2023-11-15T03:42:40,3,27,0,30
2023-11-15T03:58:29,3,27,0,30
2023-11-15T04:14:19,3,27,0,30
2023-11-15T04:41:16,3,27,0,30
2023-11-15T04:58:46,3,27,0,30
2023-11-15T05:14:41,3,27,0,30
2023-11-15T05:30:31,3,27,0,30
2023-11-15T05:46:21,3,27,0,30
2023-11-15T06:02:16,3,27,0,30
2023-11-15T06:18:06,3,27,0,30
2023-11-15T06:33:55,3,27,0,30
2023-11-15T06:49:44,3,27,0,30
2023-11-15T07:05:39,3,27,0,30
2023-11-15T07:21:35,3,27,0,30
2023-11-15T07:37:22,3,27,0,30
2023-11-15T07:53:09,3,27,0,30
2023-11-15T08:08:55,3,27,0,30
2023-11-15T08:24:42,3,27,0,30
2023-11-15T08:40:29,3,27,0,30
2023-11-15T08:56:16,3,27,0,30
2023-11-15T09:12:03,3,27,0,30
2023-11-15T09:28:04,3,27,0,30
2023-11-15T09:43:52,3,27,0,30
