time,enrolled,available,waitlisted,total
2023-11-13T04:39:36,0,140,0,140
2023-11-13T04:55:22,0,140,0,140
2023-11-13T05:11:08,0,140,0,140
2023-11-13T05:26:51,0,140,0,140
2023-11-13T05:42:34,0,140,0,140
2023-11-13T05:58:17,0,140,0,140
2023-11-13T06:14:05,0,140,0,140
2023-11-13T06:29:48,0,140,0,140
2023-11-13T06:45:31,0,140,0,140
2023-11-13T07:01:14,0,140,0,140
2023-11-13T07:16:53,0,140,0,140
2023-11-13T07:32:32,0,140,0,140
2023-11-13T07:48:11,0,140,0,140
2023-11-13T08:03:50,0,140,0,140
2023-11-13T08:19:29,0,140,0,140
2023-11-13T08:35:18,0,140,0,140
2023-11-13T08:50:56,0,140,0,140
2023-11-13T09:06:35,0,140,0,140
2023-11-13T09:22:13,0,140,0,140
2023-11-13T09:37:52,0,140,0,140
2023-11-13T09:53:31,0,140,0,140
2023-11-13T10:09:23,0,140,0,140
2023-11-13T10:25:02,0,140,0,140
2023-11-13T10:40:40,0,140,0,140
2023-11-13T10:56:33,0,140,0,140
2023-11-13T11:12:10,0,140,0,140
2023-11-13T11:27:50,0,140,0,140
2023-11-13T11:43:29,0,140,0,140
2023-11-13T11:59:21,0,140,0,140
2023-11-13T12:15:05,0,140,0,140
2023-11-13T12:30:56,0,140,0,140
2023-11-13T12:46:36,0,140,0,140
2023-11-13T13:02:15,0,140,0,140
2023-11-13T13:18:05,0,140,0,140
2023-11-13T13:33:45,0,140,0,140
2023-11-13T13:49:25,0,140,0,140
2023-11-13T14:05:16,0,140,0,140
2023-11-13T14:20:57,0,140,0,140
2023-11-13T14:36:38,0,140,0,140
2023-11-13T14:52:32,0,140,0,140
2023-11-13T15:08:16,0,140,0,140
2023-11-13T15:23:58,0,140,0,140
2023-11-13T15:39:52,0,140,0,140
2023-11-13T15:55:34,0,140,0,140
2023-11-13T16:11:15,0,140,0,140
2023-11-13T16:27:08,0,140,0,140
2023-11-13T16:42:50,0,140,0,140
2023-11-13T16:58:32,0,140,0,140
2023-11-13T17:14:27,0,140,0,140
2023-11-13T17:30:09,0,140,0,140
2023-11-13T17:45:51,0,140,0,140
2023-11-13T18:01:33,0,140,0,140
2023-11-13T18:17:28,0,140,0,140
2023-11-13T18:33:11,0,140,0,140
2023-11-13T18:48:53,0,140,0,140
2023-11-13T19:04:46,0,140,0,140
2023-11-13T19:20:29,0,140,0,140
2023-11-13T19:36:11,0,140,0,140
2023-11-13T19:52:03,0,140,0,140
2023-11-13T20:07:45,0,140,0,140
2023-11-13T20:23:27,0,140,0,140
2023-11-13T20:39:09,0,140,0,140
2023-11-13T20:55:01,0,140,0,140
2023-11-13T21:10:43,0,140,0,140
2023-11-13T21:26:26,0,140,0,140
2023-11-13T21:42:23,0,140,0,140
2023-11-13T21:58:06,0,140,0,140
2023-11-13T22:13:48,0,140,0,140
2023-11-13T22:29:30,0,140,0,140
2023-11-13T22:45:23,0,140,0,140
2023-11-13T23:01:05,0,140,0,140
2023-11-13T23:16:48,0,140,0,140
2023-11-13T23:32:31,0,140,0,140
2023-11-13T23:48:25,0,140,0,140
2023-11-14T00:09:35,0,140,0,140
2023-11-14T00:25:36,0,140,0,140
2023-11-14T00:41:41,0,140,0,140
2023-11-14T00:57:28,0,140,0,140
2023-11-14T01:13:16,0,140,0,140
2023-11-14T01:29:02,0,140,0,140
2023-11-14T01:44:48,0,140,0,140
2023-11-14T02:00:46,0,140,0,140
2023-11-14T02:16:32,0,140,0,140
2023-11-14T02:32:17,0,140,0,140
2023-11-14T02:48:02,0,140,0,140
2023-11-14T03:03:46,0,140,0,140
2023-11-14T03:19:32,0,140,0,140
2023-11-14T03:35:18,0,140,0,140
2023-11-14T03:51:06,0,140,0,140
2023-11-14T04:07:02,0,140,0,140
2023-11-14T04:28:34,0,140,0,140
2023-11-14T04:44:23,0,140,0,140
2023-11-14T05:00:13,0,140,0,140
2023-11-14T05:16:02,0,140,0,140
2023-11-14T05:31:50,0,140,0,140
2023-11-14T05:47:37,0,140,0,140
2023-11-14T06:03:29,0,140,0,140
2023-11-14T06:19:15,0,140,0,140
2023-11-14T06:35:03,0,140,0,140
2023-11-14T06:50:49,0,140,0,140
2023-11-14T07:06:47,0,140,0,140
2023-11-14T07:22:32,0,140,0,140
2023-11-14T07:38:16,0,140,0,140
2023-11-14T07:54:01,0,140,0,140
2023-11-14T08:09:45,0,140,0,140
2023-11-14T08:25:29,0,140,0,140
2023-11-14T08:41:21,0,140,0,140
2023-11-14T08:57:05,0,140,0,140
2023-11-14T09:13:01,0,140,0,140
2023-11-14T09:28:46,2,138,0,140
2023-11-14T09:44:30,2,138,0,140
2023-11-14T10:00:25,2,138,0,140
2023-11-14T10:16:10,2,138,0,140
2023-11-14T10:31:57,2,138,0,140
2023-11-14T10:47:52,2,138,0,140
2023-11-14T11:03:37,3,137,0,140
2023-11-14T11:19:35,3,137,0,140
2023-11-14T11:35:23,3,137,0,140
2023-11-14T11:51:27,3,137,0,140
2023-11-14T12:07:17,3,137,0,140
2023-11-14T12:23:15,3,137,0,140
2023-11-14T12:39:01,3,137,0,140
2023-11-14T12:54:50,3,137,0,140
2023-11-14T13:10:48,3,137,0,140
2023-11-14T13:26:36,3,137,0,140
2023-11-14T13:42:34,3,137,0,140
2023-11-14T13:58:21,3,137,0,140
2023-11-14T14:14:25,3,137,0,140
2023-11-14T14:30:11,3,137,0,140
2023-11-14T14:46:08,3,137,0,140
2023-11-14T15:01:56,3,137,0,140
2023-11-14T15:17:53,3,137,0,140
2023-11-14T15:33:39,3,137,0,140
2023-11-14T15:49:38,4,136,0,140
2023-11-14T16:05:23,4,136,0,140
2023-11-14T16:21:09,4,136,0,140
2023-11-14T16:37:06,4,136,0,140
2023-11-14T16:52:51,5,135,0,140
2023-11-14T17:08:48,6,134,0,140
2023-11-14T17:24:34,6,134,0,140
2023-11-14T17:40:19,6,134,0,140
2023-11-14T17:56:16,6,134,0,140
2023-11-14T18:12:02,6,134,0,140
2023-11-14T18:27:47,7,133,0,140
2023-11-14T18:43:43,7,133,0,140
2023-11-14T18:59:30,7,133,0,140
2023-11-14T19:15:19,7,133,0,140
2023-11-14T19:31:18,8,132,0,140
2023-11-14T19:47:04,8,132,0,140
2023-11-14T20:02:53,8,132,0,140
2023-11-14T20:18:51,9,131,0,140
2023-11-14T20:34:37,9,131,0,140
2023-11-14T20:50:23,9,131,0,140
2023-11-14T21:06:10,9,131,0,140
2023-11-14T21:22:08,9,131,0,140
2023-11-14T21:37:54,9,131,0,140
2023-11-14T21:53:40,9,131,0,140
2023-11-14T22:09:37,9,131,0,140
2023-11-14T22:25:22,9,131,0,140
2023-11-14T22:41:07,9,131,0,140
2023-11-14T22:56:52,9,131,0,140
2023-11-14T23:12:52,9,131,0,140
2023-11-14T23:28:38,9,131,0,140
2023-11-14T23:44:23,9,131,0,140
2023-11-15T00:00:09,9,131,0,140
2023-11-15T00:16:11,9,131,0,140
