time,enrolled,available,waitlisted,total
2023-11-13T04:39:44,0,40,0,40
2023-11-13T04:55:30,0,40,0,40
2023-11-13T05:11:16,0,40,0,40
2023-11-13T05:26:59,0,40,0,40
2023-11-13T05:42:42,0,40,0,40
2023-11-13T05:58:25,0,40,0,40
2023-11-13T06:14:13,0,40,0,40
2023-11-13T06:29:56,0,40,0,40
2023-11-13T06:45:39,0,40,0,40
2023-11-13T07:01:21,0,40,0,40
2023-11-13T07:17:01,0,40,0,40
2023-11-13T07:32:40,0,40,0,40
2023-11-13T07:48:19,0,40,0,40
2023-11-13T08:03:58,0,40,0,40
2023-11-13T08:19:37,0,40,0,40
2023-11-13T08:35:26,0,40,0,40
2023-11-13T08:51:04,0,40,0,40
2023-11-13T09:06:43,0,40,0,40
2023-11-13T09:22:21,0,40,0,40
2023-11-13T09:38:00,0,40,0,40
2023-11-13T09:53:39,0,40,0,40
2023-11-13T10:09:30,0,40,0,40
2023-11-13T10:25:10,0,40,0,40
2023-11-13T10:40:48,0,40,0,40
2023-11-13T10:56:40,0,40,0,40
2023-11-13T11:12:19,0,40,0,40
2023-11-13T11:27:57,0,40,0,40
2023-11-13T11:43:37,0,40,0,40
2023-11-13T11:59:29,0,40,0,40
2023-11-13T12:15:13,0,40,0,40
2023-11-13T12:31:04,0,40,0,40
2023-11-13T12:46:43,0,40,0,40
2023-11-13T13:02:23,0,40,0,40
2023-11-13T13:18:13,0,40,0,40
2023-11-13T13:33:53,0,40,0,40
2023-11-13T13:49:33,0,40,0,40
2023-11-13T14:05:24,0,40,0,40
2023-11-13T14:21:05,0,40,0,40
2023-11-13T14:36:46,0,40,0,40
2023-11-13T14:52:40,0,40,0,40
2023-11-13T15:08:24,0,40,0,40
2023-11-13T15:24:06,0,40,0,40
2023-11-13T15:40:00,0,40,0,40
2023-11-13T15:55:42,0,40,0,40
2023-11-13T16:11:23,0,40,0,40
2023-11-13T16:27:16,0,40,0,40
2023-11-13T16:42:58,0,40,0,40
2023-11-13T16:58:40,0,40,0,40
2023-11-13T17:14:35,0,40,0,40
2023-11-13T17:30:17,0,40,0,40
2023-11-13T17:45:59,0,40,0,40
2023-11-13T18:01:41,0,40,0,40
2023-11-13T18:17:36,0,40,0,40
2023-11-13T18:33:19,0,40,0,40
2023-11-13T18:49:01,0,40,0,40
2023-11-13T19:04:54,0,40,0,40
2023-11-13T19:20:36,0,40,0,40
2023-11-13T19:36:19,0,40,0,40
2023-11-13T19:52:11,0,40,0,40
2023-11-13T20:07:53,0,40,0,40
2023-11-13T20:23:35,0,40,0,40
2023-11-13T20:39:16,0,40,0,40
2023-11-13T20:55:09,0,40,0,40
2023-11-13T21:10:51,0,40,0,40
2023-11-13T21:26:34,0,40,0,40
2023-11-13T21:42:31,0,40,0,40
2023-11-13T21:58:14,0,40,0,40
2023-11-13T22:13:56,0,40,0,40
