fill_rate_0to12h,fill_rate_12to24h,fill_rate_24to36h,fill_rate_36to48h,fill_rate_48to60h,fill_rate_60to72h,quarter,dept,subj_course_id,start_time,end_time,final_waitlist_count,total_seats,final_waitlist_ratio,fill_rate_0to72h
0.25,0.0,0.42,0.17,0.17,0.0,Fa24,cogs,COGS 101B,2024-05-24 08:00:00,2024-09-26 06:00:00,7.0,172.0,0.0406976744186046,1.01
1.25,0.25,0.42,0.08,0.0,0.0,Fa24,cogs,COGS 101A,2024-05-24 08:00:00,2024-09-26 06:00:00,23.0,336.0,0.0684523809523809,2.0
0.33,0.0,0.5,0.17,0.0,0.0,Fa24,cogs,COGS 9,2024-05-24 08:00:00,2024-09-26 06:00:00,45.0,300.0,0.15,1.0
0.5,0.08,0.17,0.08,0.0,0.0,Fa24,cogs,COGS 100,2024-05-24 08:00:00,2024-09-26 06:00:00,1.0,300.0,0.0033333333333333,0.83
0.25,0.08,0.0,0.17,0.0,0.0,Fa24,cogs,COGS 110,2024-05-24 08:00:00,2024-09-26 06:00:00,0.0,90.0,0.0,0.5
0.33,0.17,0.67,0.17,0.0,0.0,Fa24,cogs,COGS 111,2024-05-24 08:00:00,2024-09-26 06:00:00,0.0,200.0,0.0,1.3399999999999999
0.25,0.08,0.83,0.25,0.08,0.0,Fa24,cogs,COGS 112,2024-05-24 08:00:00,2024-09-26 06:00:00,3.0,200.0,0.015,1.49
0.0,0.0,0.0,0.0,0.0,0.0,Fa24,cogs,COGS 107B,2024-05-24 08:00:00,2024-09-26 06:00:00,0.0,160.0,0.0,0.0
0.92,0.0,0.17,0.33,0.0,0.0,Fa24,cogs,COGS 18,2024-05-24 08:00:00,2024-09-26 06:00:00,75.0,630.0,0.119047619047619,1.4200000000000002
0.67,0.08,1.0,0.17,0.08,0.0,Fa24,cogs,COGS 163,2024-05-24 08:00:00,2024-09-26 06:00:00,28.0,50.0,0.56,2.0
0.83,0.17,0.5,0.17,0.08,0.0,Fa24,cogs,COGS 165,2024-05-24 08:00:00,2024-09-26 06:00:00,23.0,50.0,0.46,1.75
2.08,0.25,3.33,1.58,0.67,0.33,Fa24,cogs,COGS 187A,2024-05-24 08:00:00,2024-09-26 06:00:00,47.0,150.0,0.3133333333333333,8.24
0.83,0.17,1.17,0.5,0.08,0.0,Fa24,cogs,COGS 13,2024-05-24 08:00:00,2024-09-26 06:00:00,12.0,400.0,0.03,2.75
0.33,0.0,0.5,0.08,0.08,0.08,Fa24,cogs,COGS 169,2024-05-24 08:00:00,2024-09-26 06:00:00,15.0,40.0,0.375,1.07
0.08,0.0,0.17,0.0,0.0,0.0,Fa24,cogs,COGS 11,2024-05-24 08:00:00,2024-09-26 06:00:00,11.0,156.0,0.0705128205128205,0.25
0.33,0.08,0.25,0.0,0.0,0.0,Fa24,cogs,COGS 10,2024-05-24 08:00:00,2024-09-26 06:00:00,26.0,300.0,0.0866666666666666,0.66
0.25,0.0,0.0,0.0,0.0,0.0,Fa24,cogs,COGS 15,2024-05-24 08:00:00,2024-09-26 06:00:00,0.0,123.0,0.0,0.25
1.08,0.08,0.08,0.0,0.0,0.0,Fa24,cogs,COGS 14A,2024-05-24 08:00:00,2024-09-26 06:00:00,11.0,356.0,0.0308988764044943,1.2400000000000002
0.83,0.17,0.17,-0.17,0.08,0.0,Fa24,cogs,COGS 17,2024-05-24 08:00:00,2024-09-26 06:00:00,19.0,414.0,0.0458937198067632,1.0799999999999998
0.67,0.17,0.25,0.08,0.08,0.08,Fa24,cogs,COGS 14B,2024-05-24 08:00:00,2024-09-26 06:00:00,3.0,250.0,0.012,1.3300000000000003
0.42,0.08,1.0,0.33,0.08,0.08,Fa24,cogs,COGS 123,2024-05-24 08:00:00,2024-09-26 06:00:00,0.0,216.0,0.0,1.9900000000000002
1.0,0.42,2.08,0.58,0.0,0.17,Fa24,cogs,COGS 137,2024-05-24 08:00:00,2024-09-26 06:00:00,38.0,50.0,0.76,4.25
